705, ok, 1973-12-05
536, leave, 2016-11-13
499, cup, 1988-08-22
106, action, 2000-09-11
964, need, 1993-01-19
101, level, 1998-05-29
372, however, 1970-06-13
455, nothing, 1973-03-31
83, left, 1974-05-25
975, he, 2018-04-20
300, skin, 1973-01-23
819, leg, 2017-12-09
739, none, 1995-12-21
64, particular, 2011-01-30
865, hour, 2008-09-19
106, head, 1997-08-22
614, fight, 1993-09-05
313, building, 2008-09-16
294, of, 2011-02-06
108, we, 1996-09-12
36, ask, 2012-06-25
374, billion, 1995-06-01
108, whom, 1990-11-11
675, compare, 1986-08-20
714, travel, 1988-05-27
531, us, 1996-04-01
120, yard, 1980-07-15
804, be, 1980-11-03
940, budget, 2013-06-26
615, service, 2016-10-04
399, boy, 2000-03-05
983, control, 1974-08-04
224, reason, 1971-08-15
3, detail, 1994-07-18
399, film, 1982-03-03
379, government, 1980-06-02
209, face, 2018-05-23
29, evidence, 1997-06-09
61, significant, 2012-07-29
441, hand, 1995-12-19
727, data, 1993-04-12
920, by, 1976-07-29
556, eight, 1991-04-11
136, determine, 1979-07-27
149, some, 2020-03-26
2, also, 2006-08-20
628, adult, 2009-10-31
333, turn, 1970-06-08
669, population, 2006-05-27
458, effort, 2002-03-26
681, attention, 1977-03-08
609, lot, 2011-04-03
189, customer, 1999-09-03
561, focus, 1976-08-11
705, tough, 2020-04-19
594, pay, 2006-09-13
544, east, 2008-04-14
661, collection, 2006-08-08
123, the, 1982-05-27
204, wish, 1980-01-15
33, fill, 1976-04-21
260, three, 2000-04-04
894, year, 2012-09-02
939, Mr, 2006-09-27
369, wind, 1973-10-12
204, special, 1995-02-15
890, stop, 2000-03-18
841, list, 2013-03-14
338, official, 2011-01-10
377, too, 2010-01-23
139, sign, 1982-05-11
364, example, 1993-01-22
302, collection, 2005-12-05
226, use, 1985-10-19
656, reason, 1986-12-22
138, name, 1984-08-09
848, only, 1980-12-04
816, serve, 1997-06-07
32, most, 1990-09-10
82, whose, 1988-03-27
706, phone, 2000-07-08
1, institution, 1975-09-10
458, what, 2016-01-30
108, choice, 1976-10-11
10, really, 2015-07-18
862, relate, 2010-01-21
416, lead, 2002-04-08
372, day, 1974-01-10
344, model, 1983-12-18
556, large, 1995-03-09
868, lay, 1994-09-22
661, wonder, 1991-07-26
806, concern, 1994-09-30
93, write, 1971-08-11
872, floor, 1976-02-24
451, high, 2006-11-17
1000, main, 1993-08-07
573, forward, 2016-09-02
47, claim, 1985-09-16
480, onto, 2007-10-12
840, teach, 1995-06-23
435, activity, 1997-05-27
604, sing, 1982-12-12
12, money, 2012-02-14
67, I, 2011-01-19
163, Republican, 2015-03-02
504, bill, 1989-07-04
182, after, 1973-05-15
711, form, 2000-03-18
133, but, 1992-11-06
10, current, 1995-12-05
989, method, 2008-03-09
629, piece, 1998-06-27
389, deal, 1974-09-29
857, sense, 1991-12-30
205, follow, 1985-03-25
501, western, 1998-09-12
170, build, 1979-12-07
789, three, 2019-07-16
584, father, 2008-10-11
377, talk, 1998-01-14
963, share, 1994-07-21
867, floor, 2020-03-05
755, recently, 1973-07-06
291, face, 1972-08-06
354, political, 1981-06-24
904, here, 2004-04-27
643, card, 1992-02-15
667, group, 2006-10-29
326, activity, 1976-02-21
140, deep, 1989-11-17
740, seek, 2013-09-16
68, system, 1970-08-17
905, white, 2008-08-23
434, cut, 2001-02-24
224, though, 1991-11-13
27, them, 1983-07-29
486, by, 2018-02-07
318, forward, 2002-07-22
980, seven, 2015-09-25
365, day, 1972-04-25
37, military, 1989-06-02
571, I, 1996-01-15
901, effort, 1972-07-23
112, young, 1995-01-06
80, money, 1998-07-08
104, under, 1971-10-30
547, speak, 1999-02-11
963, away, 1975-01-29
818, factor, 1988-08-28
819, consumer, 2009-08-23
156, about, 1991-08-11
754, these, 1993-09-12
180, they, 1983-06-26
935, benefit, 1978-09-13
848, ok, 1984-11-26
416, someone, 2001-05-22
581, cover, 1987-01-29
309, though, 2017-12-16
226, heart, 1987-03-06
519, tonight, 1984-04-07
188, nation, 1985-08-14
792, owner, 2010-06-02
636, report, 2004-03-29
769, water, 1998-07-27
946, choice, 1991-11-03
382, all, 2013-01-26
556, arm, 2005-03-30
186, reflect, 1976-04-10
56, gun, 1976-10-22
463, economy, 1998-04-11
352, push, 1993-05-08
368, lot, 1984-01-24
516, room, 1993-01-13
133, some, 2012-01-16
80, write, 1990-01-16
257, believe, 2006-03-16
646, summer, 2017-06-08
283, let, 2013-05-04
997, condition, 1991-10-25
797, how, 1999-05-17
948, authority, 1977-12-12
529, nearly, 2020-08-02
833, force, 1979-09-22
481, friend, 1994-03-23
305, prevent, 2015-11-23
456, final, 2006-02-09
197, school, 2015-07-25
658, bag, 1975-06-08
472, woman, 1982-02-16
726, great, 1990-06-03
585, investment, 1988-11-10
54, tax, 1988-04-16
316, behind, 2001-01-06
229, official, 1984-01-14
744, throw, 2006-04-03
813, kid, 2007-12-30
581, health, 1971-08-13
592, issue, 1988-03-08
120, message, 1972-02-28
676, able, 1981-12-24
232, situation, 1993-05-11
181, language, 1988-05-12
585, bill, 1974-09-27
711, manage, 2018-12-14
613, production, 1988-11-15
383, it, 2016-01-30
293, anything, 2017-05-04
59, bar, 2000-09-25
441, trouble, 2000-07-19
916, quite, 2017-01-07
740, amount, 2003-11-17
358, bed, 2012-02-10
963, which, 2020-04-21
846, begin, 1983-12-31
302, open, 1976-08-26
957, along, 1977-02-23
631, practice, 1987-06-07
940, management, 1993-09-30
673, health, 1984-01-17
409, experience, 1971-02-19
44, fill, 1972-08-27
780, song, 2017-05-01
65, total, 2000-06-11
273, author, 1983-09-02
538, commercial, 2014-09-07
556, his, 1970-10-07
251, memory, 1992-07-28
830, scientist, 1996-02-12
945, across, 2014-03-22
630, ball, 1989-12-16
573, maintain, 1970-10-06
895, side, 1970-11-08
852, yard, 2002-03-26
264, end, 1970-04-11
990, wide, 2011-06-28
334, prove, 1989-12-22
951, view, 1997-04-16
791, order, 2006-02-15
326, information, 2020-01-24
675, manager, 1997-03-05
72, begin, 1972-09-19
635, produce, 1992-05-27
900, strategy, 2001-10-21
703, land, 1970-05-28
890, defense, 1977-03-02
461, in, 1977-05-06
746, however, 2003-07-11
48, around, 1988-05-16
276, candidate, 2003-04-27
965, research, 1976-06-10
223, paper, 1993-09-25
537, very, 1982-12-03
559, because, 2002-10-04
144, serious, 2004-02-24
701, attention, 1998-06-11
558, order, 2001-12-24
396, run, 1986-07-11
149, seat, 1996-05-08
771, court, 1975-07-11
638, follow, 2015-05-14
917, amount, 1997-05-17
805, no, 1980-05-08
883, everyone, 1990-09-08
318, top, 1981-03-12
36, peace, 1985-02-25
105, yard, 2014-12-30
933, summer, 1982-11-14
977, ground, 2010-09-21
877, film, 1989-12-14
663, bit, 1989-07-25
787, project, 1999-02-08
677, realize, 2014-03-18
135, anything, 1999-12-10
515, let, 2000-05-14
761, least, 2015-09-15
78, media, 1992-05-31
37, as, 1996-11-12
894, college, 2000-04-26
317, leg, 1995-12-04
275, current, 2003-12-31
766, look, 1972-03-26
904, scene, 2013-12-14
911, fast, 2005-11-02
363, realize, 2005-10-13
732, college, 1997-08-05
883, once, 2020-01-20
838, bank, 1981-09-28
389, safe, 1977-07-15
692, could, 2004-07-27
315, option, 1988-05-09
972, environment, 2013-09-20
764, end, 2002-03-05
453, how, 1990-02-26
12, argue, 2017-07-30
801, describe, 2013-10-30
79, story, 2011-10-21
322, candidate, 1988-07-25
593, prevent, 1972-03-14
769, painting, 1983-12-02
530, tough, 1992-02-04
761, entire, 1995-04-10
861, audience, 2011-06-19
927, keep, 1998-05-06
375, contain, 1986-07-24
178, night, 1992-04-29
950, view, 1990-02-17
82, cup, 1977-04-22
941, concern, 1976-08-23
469, team, 1979-11-14
690, same, 2006-03-23
800, situation, 1970-10-25
872, tend, 1980-06-10
264, different, 1989-12-24
969, evening, 1970-12-16
62, center, 2003-02-06
147, production, 1972-04-20
959, cup, 1992-01-27
145, ask, 1980-02-09
29, difference, 1980-05-31
313, short, 1994-06-10
683, these, 1983-02-23
388, open, 2013-02-03
380, relate, 1975-01-30
9, pay, 1970-03-12
814, boy, 2008-05-07
351, thousand, 1974-09-25
935, more, 2008-07-09
529, analysis, 2009-03-11
888, ground, 2002-09-03
443, job, 1988-08-04
192, late, 2000-09-25
190, understand, 1983-07-02
403, foreign, 1991-06-09
347, receive, 2015-10-08
81, trip, 1982-12-19
438, talk, 1980-05-30
861, outside, 1984-05-12
337, strategy, 1982-12-02
476, former, 1984-11-01
866, memory, 1993-07-11
371, I, 1986-03-11
90, right, 1989-04-16
857, environment, 1970-07-14
910, article, 1998-04-24
489, beat, 2019-03-28
539, prevent, 1972-10-15
1000, thousand, 1973-01-20
899, third, 1998-02-18
455, drop, 2007-01-14
94, American, 1981-01-06
929, share, 1988-11-06
767, name, 1987-11-17
615, thank, 1970-06-23
963, hear, 1990-08-24
913, decide, 1998-06-04
649, as, 1995-08-07
614, win, 2017-08-02
993, word, 2004-01-06
588, less, 1986-02-04
695, anyone, 1984-07-22
865, consider, 1983-09-30
942, main, 1970-07-29
247, memory, 2000-02-22
422, apply, 2006-11-25
169, guy, 2012-05-27
487, everybody, 2019-09-06
154, live, 1978-09-12
871, color, 1997-08-17
184, behind, 2018-03-09
573, adult, 1978-06-26
47, dark, 1992-01-30
858, choice, 1994-12-08
892, especially, 2011-12-08
321, consider, 1985-12-20
561, begin, 1992-12-31
421, fight, 2006-07-11
335, beyond, 2006-03-10
71, physical, 2010-02-06
387, through, 1985-03-27
259, total, 1995-01-05
76, two, 2000-10-13
205, keep, 2017-05-22
538, suddenly, 2015-02-23
677, hotel, 2005-07-26
218, PM, 2002-10-02
134, bank, 1976-04-18
990, half, 2007-11-14
333, billion, 1988-06-26
684, response, 1971-09-15
743, media, 2011-03-24
538, result, 1975-04-04
233, person, 1974-07-23
436, deal, 2013-08-19
518, face, 1977-12-09
904, tree, 2007-05-08
815, will, 2005-05-01
474, manager, 2014-05-05
583, because, 1970-03-06
689, sound, 1971-12-29
900, public, 1975-05-21
698, range, 1985-12-07
781, security, 2009-05-24
989, girl, 1971-06-11
190, role, 2005-06-22
83, recognize, 1979-01-26
387, official, 1981-10-01
874, check, 2004-10-24
607, there, 1981-03-16
260, relationship, 1976-02-01
857, deal, 1988-07-02
63, concern, 1996-03-13
565, be, 2019-10-22
35, ok, 1979-12-23
23, sound, 1982-04-30
8, structure, 2020-07-02
561, so, 1973-04-18
280, difference, 1974-08-14
936, away, 1998-12-28
801, project, 1989-05-18
349, black, 1986-03-02
11, morning, 1976-08-13
774, card, 1981-03-02
354, find, 1976-11-10
121, adult, 2013-12-29
614, song, 2012-01-07
827, smile, 2018-11-23
133, discuss, 2015-11-26
548, budget, 2008-03-22
46, kind, 1982-09-09
212, read, 1974-08-03
675, point, 2003-10-15
686, close, 1971-07-26
427, these, 2018-10-23
405, owner, 2016-11-20
681, floor, 2015-08-29
263, lay, 1989-10-17
354, around, 2001-02-07
583, huge, 1974-02-11
222, father, 1997-08-20
527, happy, 1991-07-10
201, dream, 2015-10-19
753, machine, 1980-02-27
263, mother, 2008-04-30
380, wind, 1979-09-19
79, make, 1998-12-23
781, art, 1971-07-23
517, up, 1992-12-14
823, medical, 2013-02-05
620, the, 2011-05-29
369, explain, 2004-08-21
763, candidate, 2016-06-15
937, skin, 2020-02-23
206, positive, 1992-09-24
905, water, 1986-07-30
900, task, 1976-03-24
898, enter, 1975-05-06
849, future, 1997-12-15
301, kind, 1990-09-03
111, toward, 1993-02-28
731, smile, 1994-04-13
843, son, 2017-11-12
907, least, 2011-12-22
191, read, 1997-07-14
777, travel, 2004-06-15
185, late, 1972-03-25
669, bad, 1986-05-23
256, life, 1986-07-18
234, across, 1992-07-04
709, increase, 2014-08-14
983, center, 2009-06-11
174, but, 2011-08-26
668, compare, 2012-10-28
581, we, 2010-01-07
799, minute, 2002-02-19
139, despite, 2015-06-24
832, air, 2013-04-08
134, girl, 2009-06-12
3, real, 1978-06-28
761, push, 1990-10-25
138, throw, 2020-01-07
799, paper, 2003-08-04
429, push, 1997-04-21
350, car, 2014-06-29
943, by, 1989-08-31
226, office, 1975-07-21
467, each, 2020-06-23
865, every, 2016-09-26
977, bed, 1976-09-24
388, explain, 1975-06-27
341, top, 1980-08-23
254, world, 2010-10-11
787, give, 1988-09-01
876, statement, 1972-10-16
833, four, 2006-04-28
298, look, 1988-07-14
456, street, 2004-10-26
388, whom, 1987-10-02
598, top, 1998-01-03
283, through, 1989-05-21
537, owner, 1984-03-02
408, poor, 2000-10-22
963, and, 2001-12-01
256, kid, 1971-12-15
414, coach, 1979-05-19
20, site, 1980-02-20
167, skin, 2005-09-02
308, huge, 2015-05-28
832, both, 1984-01-13
618, name, 2009-11-06
113, beat, 1982-11-24
882, about, 2017-08-16
279, film, 1978-02-06
509, themselves, 2005-05-27
561, visit, 2008-10-09
163, represent, 1989-04-11
741, money, 2020-03-06
60, prepare, 2020-05-28
577, crime, 2006-01-24
132, no, 2017-08-01
926, place, 1992-06-18
449, current, 2004-11-22
185, memory, 2007-08-31
12, young, 2013-07-27
230, already, 2019-02-10
784, section, 2005-07-20
901, court, 1981-03-23
645, you, 1973-10-27
467, soon, 2000-09-26
515, military, 2020-05-13
17, perform, 2019-12-21
647, huge, 2005-05-19
810, fall, 1984-03-26
798, skill, 1981-04-07
999, pass, 1995-01-09
107, world, 1984-01-10
186, accept, 1974-03-19
819, push, 1976-01-18
21, mean, 1987-07-02
679, perhaps, 2004-02-03
596, professional, 1986-06-02
637, political, 2019-09-27
262, spring, 2002-03-11
721, skill, 1970-06-25
177, entire, 1978-01-28
176, let, 1987-10-11
885, perhaps, 1977-08-14
192, key, 2010-12-25
91, service, 2002-04-23
723, quite, 2016-07-10
955, provide, 1993-08-01
378, card, 2008-09-15
457, election, 2001-11-11
530, program, 1989-09-30
565, sit, 1999-09-10
419, situation, 1978-06-09
924, whose, 2010-09-15
928, piece, 1983-11-11
408, year, 2018-06-10
118, four, 1986-07-22
840, action, 2008-01-12
232, everyone, 1975-07-31
678, toward, 1978-04-02
909, worker, 1977-05-05
25, nothing, 2001-06-29
664, human, 1975-09-13
116, of, 1975-05-28
790, half, 1974-06-14
902, yet, 1975-10-08
825, address, 1993-12-11
157, especially, 1998-06-19
159, best, 2010-12-27
110, style, 1999-07-16
517, network, 1977-04-17
392, serious, 1981-03-09
313, face, 2004-11-17
366, guess, 1987-11-06
65, customer, 1998-11-07
786, nor, 2008-02-28
154, next, 2004-08-23
545, daughter, 2007-02-11
743, administration, 2016-11-24
46, there, 1985-08-06
327, think, 1983-11-06
253, open, 1983-04-28
336, prepare, 1985-04-02
112, detail, 2014-04-05
292, mouth, 2002-02-07
464, born, 2002-03-07
581, computer, 2013-07-11
484, natural, 2009-12-08
440, speak, 1991-02-02
201, wind, 1980-11-09
956, animal, 1999-12-08
900, certainly, 1990-04-10
526, then, 2008-05-30
647, product, 1973-09-19
215, rise, 2009-03-20
323, history, 2015-03-10
912, success, 1976-08-26
549, social, 2004-10-01
114, hair, 1981-12-08
142, hotel, 1976-01-14
591, seven, 2017-01-09
86, win, 2017-10-24
115, since, 1992-09-03
329, seat, 2011-10-10
616, treatment, 1983-06-03
647, at, 2003-09-09
833, decade, 1972-01-12
933, major, 2002-05-18
897, direction, 2008-12-12
863, well, 2009-12-25
592, approach, 2007-12-22
889, hospital, 2019-12-16
840, people, 2015-03-22
8, couple, 2010-02-08
103, level, 1989-11-08
436, trouble, 2017-03-13
511, wife, 2018-03-10
647, government, 1997-03-23
365, above, 1971-07-29
21, say, 2002-03-04
617, discuss, 1992-02-29
338, green, 1983-04-01
501, remain, 1972-06-21
658, practice, 2005-07-04
597, dream, 2001-05-14
118, cold, 2016-01-24
394, hair, 1974-08-27
796, character, 1979-03-05
774, red, 2000-10-10
429, choose, 1985-07-15
657, the, 2000-06-18
211, nature, 2020-09-07
141, much, 2019-09-23
738, heavy, 2011-11-14
353, box, 1989-03-31
861, future, 2018-10-18
263, space, 1984-12-06
895, surface, 2009-12-03
798, year, 2000-05-08
944, dark, 2020-02-29
390, mention, 1984-10-16
466, debate, 2010-12-15
281, cover, 1977-10-29
881, imagine, 2009-03-19
835, sometimes, 2018-09-06
444, often, 1973-01-17
403, military, 2012-03-25
330, above, 2013-03-24
125, strategy, 2008-09-01
484, black, 1993-07-03
247, career, 1989-08-27
504, price, 2020-04-27
997, field, 1981-09-30
244, whatever, 1994-07-25
736, response, 1991-04-12
472, recognize, 1980-09-26
30, sister, 2012-03-16
188, according, 1981-03-31
224, sea, 1972-12-12
944, study, 1970-08-20
172, set, 2001-10-28
193, just, 1977-09-15
104, adult, 1982-11-29
474, likely, 1972-09-06
